KNr	A	B	C	Gene	Function
K00061	metabolism	metabolism of cofactors and vitamins	retinol metabolism [path:ko00830]	RDH5	11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00062	metabolism	carbohydrate metabolism	ascorbate and aldarate metabolism [path:ko00053]	ARA2	D-arabinose 1-dehydrogenase [EC:1.1.1.116]
K00063	metabolism	carbohydrate metabolism	ascorbate and aldarate metabolism [path:ko00053]	ARA1	D-arabinose 1-dehydrogenase [EC:1.1.1.117]
K00064	metabolism	carbohydrate metabolism	general carbohydrate metabolism	E1.1.1.122	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	metabolism	carbohydrate metabolism	pentose and glucuronate interconversions [path:ko00040]	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066	multiple functions	multiple functions	multiple functions	algD	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	metabolism	general metabolism	general metabolism	rfbD, rmlD	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	metabolism	carbohydrate metabolism	fructose and mannose metabolism [path:ko00051]	srlD	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	multiple functions	multiple functions	multiple functions	HPGD	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	multiple functions	multiple functions	multiple functions	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071	multiple functions	multiple functions	multiple functions	HSD11B2	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]
K00072	multiple functions	multiple functions	multiple functions	SPR	sepiapterin reductase [EC:1.1.1.153]
K00073	metabolism	nucleotide metabolism	purine metabolism [path:ko00230]	allD	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	metabolism	general metabolism	general metabolism	paaH, hbd, fadB, mmgB	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	multiple functions	multiple functions	multiple functions	murB	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	metabolism	lipid metabolism	secondary bile acid biosynthesis [path:ko00121]	hdhA	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	metabolism	metabolism of cofactors and vitamins	pantothenate and coa biosynthesis [path:ko00770]	panE, apbA	2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	metabolism	general metabolism	general metabolism	DHDH	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00079	multiple functions	multiple functions	multiple functions	CBR1	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00081	metabolism	general metabolism	general metabolism	CBR2	carbonyl reductase 2 [EC:1.1.1.184]
K00082	metabolism	metabolism of cofactors and vitamins	riboflavin metabolism [path:ko00740]	ribD2	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00083	metabolism	biosynthesis of other secondary metabolites	phenylpropanoid biosynthesis [path:ko00940]	CAD	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K00084	metabolism	general metabolism	general metabolism	CBR3	carbonyl reductase 3 [EC:1.1.1.184]
K00085	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	E1.1.1.200	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]
K00086	metabolism	general metabolism	general metabolism	dhaT	1,3-propanediol dehydrogenase [EC:1.1.1.202]
K00087	metabolism	nucleotide metabolism	purine metabolism [path:ko00230]	ygeS, xdhA	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	multiple functions	multiple functions	multiple functions	IMPDH, guaB	IMP dehydrogenase [EC:1.1.1.205]
K00089	multiple functions	multiple functions	multiple functions	AKR1C2	3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]
K00090	metabolism	general metabolism	general metabolism	ghrB	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	E1.1.1.219	dihydroflavonol-4-reductase [EC:1.1.1.219]
K00093	metabolism	energy metabolism	methane metabolism [path:ko00680]	mdh	methanol dehydrogenase [EC:1.1.1.244]
K00094	metabolism	carbohydrate metabolism	galactose metabolism [path:ko00052]	E1.1.1.251, gatD	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00095	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	MTD	mannitol dehydrogenase [EC:1.1.1.255]
K00096	metabolism	lipid metabolism	glycerophospholipid metabolism [path:ko00564]	araM, egsA	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	metabolism	metabolism of cofactors and vitamins	vitamin b6 metabolism [path:ko00750]	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	idnD	L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099	metabolism	metabolism of terpenoids and polyketides	terpenoid backbone biosynthesis [path:ko00900]	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	metabolism	carbohydrate metabolism	butanoate metabolism [path:ko00650]	bdhAB	butanol dehydrogenase [EC:1.1.1.-]
K00101	metabolism	carbohydrate metabolism	pyruvate metabolism [path:ko00620]	lldD	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	metabolism	carbohydrate metabolism	pyruvate metabolism [path:ko00620]	LDHD, dld	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103	metabolism	carbohydrate metabolism	ascorbate and aldarate metabolism [path:ko00053]	GULO	L-gulonolactone oxidase [EC:1.1.3.8]
K00104	metabolism	carbohydrate metabolism	glyoxylate and dicarboxylate metabolism [path:ko00630]	glcD	glycolate oxidase [EC:1.1.3.15]
K00105	metabolism	lipid metabolism	glycerophospholipid metabolism [path:ko00564]	E1.1.3.21	alpha-glycerophosphate oxidase [EC:1.1.3.21]
K00106	multiple functions	multiple functions	multiple functions	XDH	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00107	metabolism	carbohydrate metabolism	ascorbate and aldarate metabolism [path:ko00053]	ALO	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]
K00108	metabolism	amino acid metabolism	glycine, serine and threonine metabolism [path:ko00260]	betA, CHDH	choline dehydrogenase [EC:1.1.99.1]
K00109	metabolism	carbohydrate metabolism	butanoate metabolism [path:ko00650]	L2HGDH	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	metabolism	lipid metabolism	glycerophospholipid metabolism [path:ko00564]	glpA, glpD	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	metabolism	lipid metabolism	glycerophospholipid metabolism [path:ko00564]	glpB	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	metabolism	lipid metabolism	glycerophospholipid metabolism [path:ko00564]	glpC	glycerol-3-phosphate dehydrogenase subunit C
K00114	metabolism	general metabolism	general metabolism	exaA	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00115	metabolism	carbohydrate metabolism	pentose phosphate pathway [path:ko00030]	GLD	glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]
K00116	metabolism	carbohydrate metabolism	general carbohydrate metabolism	mqo	malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	metabolism	carbohydrate metabolism	pentose phosphate pathway [path:ko00030]	gcd	quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00118	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	gfo	glucose-fructose oxidoreductase [EC:1.1.99.28]
K00119	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	E1.1.99.36	alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]
K00120	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	fgd2	F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-]
K00121	metabolism	general metabolism	general metabolism	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	metabolism	general metabolism	general metabolism	FDH	formate dehydrogenase [EC:1.17.1.9]
K00123	metabolism	general metabolism	general metabolism	fdoG, fdhF, fdwA	formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	metabolism	general metabolism	general metabolism	fdoH, fdsB	formate dehydrogenase iron-sulfur subunit
K00125	metabolism	energy metabolism	methane metabolism [path:ko00680]	fdhB	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
K00126	metabolism	general metabolism	general metabolism	fdsD	formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	metabolism	general metabolism	general metabolism	fdoI, fdsG	formate dehydrogenase subunit gamma
K00128	metabolism	general metabolism	general metabolism	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	metabolism	general metabolism	general metabolism	ALDH3	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	metabolism	amino acid metabolism	glycine, serine and threonine metabolism [path:ko00260]	betB, gbsA	betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	metabolism	carbohydrate metabolism	general carbohydrate metabolism	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	metabolism	carbohydrate metabolism	general carbohydrate metabolism	E1.2.1.10	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	metabolism	general metabolism	general metabolism	asd	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	multiple functions	multiple functions	multiple functions	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00135	metabolism	general metabolism	general metabolism	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	metabolism	general metabolism	general metabolism	prr	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	metabolism	carbohydrate metabolism	general carbohydrate metabolism	aldB	aldehyde dehydrogenase [EC:1.2.1.-]
K00139	metabolism	general metabolism	general metabolism	ALDH5A1	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K00140	metabolism	general metabolism	general metabolism	mmsA, iolA, ALDH6A1	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	metabolism	xenobiotics biodegradation and metabolism	general xenobiotics biodegradation and metabolism	xylC	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00142	brite hierarchies	protein families: metabolism	lipid biosynthesis proteins [br:ko01004]	AASDH	acyl-CoA synthetase [EC:6.2.1.-]
K00143	metabolism	amino acid metabolism	lysine biosynthesis [path:ko00300]	LYS2	L-2-aminoadipate reductase [EC:1.2.1.95]
K00145	metabolism	amino acid metabolism	arginine biosynthesis [path:ko00220]	argC	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146	metabolism	general metabolism	general metabolism	feaB	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	metabolism	general metabolism	general metabolism	proA	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	metabolism	general metabolism	general metabolism	fdhA	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00149	metabolism	general metabolism	general metabolism	ALDH9A1	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
K00150	metabolism	general metabolism	general metabolism	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00151	metabolism	amino acid metabolism	tyrosine metabolism [path:ko00350]	hpaE, hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00152	metabolism	xenobiotics biodegradation and metabolism	naphthalene degradation [path:ko00626]	nahF	salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00153	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	E1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	E1.2.1.68	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00155	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	LNAA, LNBA	L-tyrosine reductase [EC:1.2.1.101]
K00156	metabolism	carbohydrate metabolism	pyruvate metabolism [path:ko00620]	poxB	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	multiple functions	multiple functions	multiple functions	AOX	aldehyde oxidase [EC:1.2.3.1]
K00158	metabolism	carbohydrate metabolism	pyruvate metabolism [path:ko00620]	E1.2.3.3, poxL	pyruvate oxidase [EC:1.2.3.3]
K00161	multiple functions	multiple functions	multiple functions	PDHA, pdhA	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00162	multiple functions	multiple functions	multiple functions	PDHB, pdhB	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00163	metabolism	carbohydrate metabolism	general carbohydrate metabolism	aceE	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	metabolism	carbohydrate metabolism	citrate cycle (tca cycle) [path:ko00020]	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166	metabolism	general metabolism	general metabolism	BCKDHA, bkdA1	2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
K00167	metabolism	general metabolism	general metabolism	BCKDHB, bkdA2	2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
K00169	metabolism	general metabolism	general metabolism	porA	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	metabolism	general metabolism	general metabolism	porB	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	metabolism	general metabolism	general metabolism	porD	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00172	metabolism	general metabolism	general metabolism	porC, porG	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	metabolism	general metabolism	general metabolism	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	metabolism	general metabolism	general metabolism	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K00176	metabolism	general metabolism	general metabolism	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K00177	metabolism	general metabolism	general metabolism	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K00179	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	iorA	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
K00180	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	iorB	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
K00181	environmental information processing	signal transduction	wnt signaling pathway [path:ko04310]	PORCN	O-palmitoleoyl transferase [EC:2.3.1.250]
K00182	multiple functions	multiple functions	multiple functions	WNT2	wingless-type MMTV integration site family, member 2
K00184	multiple functions	multiple functions	multiple functions	dmsB	dimethyl sulfoxide reductase iron-sulfur subunit
K00185	multiple functions	multiple functions	multiple functions	dmsC	dimethyl sulfoxide reductase membrane subunit
K00186	metabolism	amino acid metabolism	valine, leucine and isoleucine degradation [path:ko00280]	vorA	2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]
K00187	metabolism	amino acid metabolism	valine, leucine and isoleucine degradation [path:ko00280]	vorB	2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]
K00188	metabolism	amino acid metabolism	valine, leucine and isoleucine degradation [path:ko00280]	vorD	2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]
K00189	metabolism	general metabolism	general metabolism	vorG, porG	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]
K00192	metabolism	energy metabolism	methane metabolism [path:ko00680]	cdhA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]
K00193	metabolism	energy metabolism	methane metabolism [path:ko00680]	cdhC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]
K00194	metabolism	energy metabolism	general energy metabolism	cdhD, acsD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]
K00195	metabolism	energy metabolism	methane metabolism [path:ko00680]	cdhB	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
K00196	metabolism	general metabolism	general metabolism	cooF	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	metabolism	energy metabolism	general energy metabolism	cdhE, acsC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]
K00198	metabolism	general metabolism	general metabolism	cooS, acsA	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
K00200	metabolism	energy metabolism	methane metabolism [path:ko00680]	fwdA, fmdA	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]
K00201	metabolism	energy metabolism	methane metabolism [path:ko00680]	fwdB, fmdB	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
K00202	metabolism	energy metabolism	methane metabolism [path:ko00680]	fwdC, fmdC	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]
K00203	metabolism	energy metabolism	methane metabolism [path:ko00680]	fwdD, fmdD	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]
K00204	metabolism	energy metabolism	methane metabolism [path:ko00680]	fwdH	4Fe-4S ferredoxin
K00205	metabolism	energy metabolism	methane metabolism [path:ko00680]	fwdF, fmdF	4Fe-4S ferredoxin
K00206	metabolism	metabolism of other amino acids	phosphonate and phosphinate metabolism [path:ko00440]	phnY	phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-]
K00207	metabolism	general metabolism	general metabolism	DPYD	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
K00208	multiple functions	multiple functions	multiple functions	fabI	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00209	multiple functions	multiple functions	multiple functions	fabV, ter	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K00211	metabolism	amino acid metabolism	phenylalanine, tyrosine and tryptophan biosynthesis [path:ko00400]	TYR1	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00212	metabolism	general metabolism	general metabolism	AKR1C1	20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20]
K00213	metabolism	lipid metabolism	steroid biosynthesis [path:ko00100]	DHCR7	7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	metabolism	metabolism of cofactors and vitamins	porphyrin and chlorophyll metabolism [path:ko00860]	BLVRA, bvdR	biliverdin reductase [EC:1.3.1.24]
K00215	metabolism	general metabolism	general metabolism	dapB	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216	metabolism	metabolism of terpenoids and polyketides	biosynthesis of siderophore group nonribosomal peptides [path:ko01053]	entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00217	metabolism	xenobiotics biodegradation and metabolism	general xenobiotics biodegradation and metabolism	E1.3.1.32	maleylacetate reductase [EC:1.3.1.32]
K00218	metabolism	metabolism of cofactors and vitamins	porphyrin and chlorophyll metabolism [path:ko00860]	por	protochlorophyllide reductase [EC:1.3.1.33]
